dep,awesome_rust_repos_using_dep,crate_category,crate_total_downloads,crate_recent_downloads,repo_url
bigdecimal,11,Mathematics,39923227,8662616,https://github.com/akubera/bigdecimal-rs
slog,14,Debugging,25078861,2319197,https://github.com/slog-rs/slog
getrandom,30,Operating systems,562995449,101355632,https://github.com/rust-random/getrandom
filetime,12,,141576032,19847907,https://github.com/alexcrichton/filetime
rustls,62,Network programming,316819253,51428865,https://github.com/rustls/rustls
url,132,Encoding,339694255,41645631,https://github.com/servo/rust-url
arc-swap,27,Data structures,113150018,16625219,https://github.com/vorner/arc-swap
x509-parser,11,Cryptography,48042406,9522002,https://github.com/rusticata/x509-parser.git
native-tls,18,,152519167,18538599,https://github.com/sfackler/rust-native-tls
approx,16,,57345451,8981211,https://github.com/brendanzab/approx
maplit,14,Rust patterns,70031002,8855096,https://github.com/bluss/maplit
ctor,12,,74804604,6762076,https://github.com/mmastrac/rust-ctor
either,30,Data structures,401143163,53382978,https://github.com/rayon-rs/either
bytes,121,Data structures,384539666,48712058,https://github.com/tokio-rs/bytes
pathdiff,14,,67742691,11199740,https://github.com/Manishearth/pathdiff
tower,37,Asynchronous,188783714,39493074,https://github.com/tower-rs/tower
test-log,12,API bindings,27724921,6085515,https://github.com/d-e-s-o/test-log.git
http-body,22,Web programming,307558947,48230226,https://github.com/hyperium/http-body
http,70,Web programming,345781341,54397771,https://github.com/hyperium/http
data-encoding,15,Encoding,129035715,20348615,https://github.com/ia0/data-encoding
shell-words,11,,42500733,7559281,https://github.com/tmiasko/shell-words
bincode,48,Encoding,127942683,19421053,https://github.com/bincode-org/bincode
memmap2,28,,122254999,16715745,https://github.com/RazrFalcon/memmap2-rs
clap,263,Command-line interface,455668951,62422813,https://github.com/clap-rs/clap
serial_test,12,Testing,59491366,8610951,https://github.com/palfrey/serial_test/
convert_case,15,Text processing,173853381,29536761,https://github.com/rutrum/convert-case
backtrace,23,,226487594,30179099,https://github.com/rust-lang/backtrace-rs
serde,438,Encoding,572302147,73396992,https://github.com/serde-rs/serde
slab,18,Data structures,325150812,42333049,https://github.com/tokio-rs/slab
bstr,12,Encoding,174879270,23783955,https://github.com/BurntSushi/bstr
tokio,235,Asynchronous,347436578,46280734,https://github.com/tokio-rs/tokio
arrayvec,14,Data structures,234953897,29568318,https://github.com/bluss/arrayvec
rustversion,16,Build Utils,224916655,38271787,https://github.com/dtolnay/rustversion
ratatui,37,Command-line interface,7773587,1860151,https://github.com/ratatui/ratatui
toml,125,Encoding,331670370,43528013,https://github.com/toml-rs/toml
windows-sys,15,Windows APIs,358346275,66925329,https://github.com/microsoft/windows-rs
enum_dispatch,11,Procedural macro helpers,24796093,4182322,https://gitlab.com/antonok/enum_dispatch
petgraph,11,Data structures,179206170,29272573,https://github.com/petgraph/petgraph
serde_json,314,Encoding,498510973,62966495,https://github.com/serde-rs/json
protobuf,11,,59433646,7832766,
indoc,21,No dynamic allocation,120842135,19143631,https://github.com/dtolnay/indoc
indicatif,39,Command-line interface,64915966,11723754,https://github.com/console-rs/indicatif
num-complex,12,Algorithms,140674211,19929742,https://github.com/rust-num/num-complex
wasm-bindgen,19,WebAssembly,177404031,24578198,https://github.com/rustwasm/wasm-bindgen
strsim,16,Text processing,436283080,60394650,https://github.com/rapidfuzz/strsim-rs
rcgen,17,,25359893,3587878,https://github.com/rustls/rcgen
num-derive,12,Science,80011957,12968731,https://github.com/rust-num/num-derive
reqwest,115,HTTP client,236786443,36276341,https://github.com/seanmonstar/reqwest
async-compression,17,Asynchronous,70813700,12603740,https://github.com/Nullus157/async-compression
serde_bytes,14,Encoding,87376620,12001641,https://github.com/serde-rs/bytes
itoa,18,No dynamic allocation,520039672,68188171,https://github.com/dtolnay/itoa
quote,57,Procedural macro helpers,645519297,84148998,https://github.com/dtolnay/quote
ordered-float,22,Rust patterns,152275151,25798156,https://github.com/reem/rust-ordered-float
wasm-bindgen-futures,17,,114024188,16398668,https://github.com/rustwasm/wasm-bindgen/tree/master/crates/futures
lru,33,Caching,111558580,17516906,https://github.com/jeromefroe/lru-rs.git
config,23,Configuration,47239030,6178351,https://github.com/rust-cli/config-rs
open,20,,14622247,2016184,https://github.com/Byron/open-rs
globset,17,,91682590,13179474,https://github.com/BurntSushi/ripgrep/tree/master/crates/globset
miette,11,Rust patterns,24726183,3759540,https://github.com/zkat/miette
quickcheck,15,Testing,33590185,4635367,https://github.com/BurntSushi/quickcheck
simplelog,14,,15713655,1452931,https://github.com/drakulix/simplelog.rs
threadpool,12,Concurrency,63181836,7556468,https://github.com/rust-threadpool/rust-threadpool
hostname,11,API bindings,89876775,11978257,https://github.com/svartalf/hostname
hickory-resolver,19,Network programming,12587038,4088295,https://github.com/hickory-dns/hickory-dns
syn,56,Procedural macro helpers,951686237,128493821,https://github.com/dtolnay/syn
prettytable-rs,11,Command-line interface,13113152,1248665,https://github.com/phsym/prettytable-rs
ndarray,19,Data structures,32660786,7111809,https://github.com/rust-ndarray/ndarray
textwrap,12,Command-line interface,242801627,23242814,https://github.com/mgeisler/textwrap
scopeguard,16,Rust patterns,380371412,44353363,https://github.com/bluss/scopeguard
tokio-stream,54,Asynchronous,168995650,23625577,https://github.com/tokio-rs/tokio
hyper-rustls,14,,204041344,37666034,https://github.com/rustls/hyper-rustls
rstest,20,Testing,35711444,7168824,https://github.com/la10736/rstest
tonic,24,Web programming,129800946,21121241,https://github.com/hyperium/tonic
once_cell,80,Memory management,491046021,68894332,https://github.com/matklad/once_cell
fxhash,11,Algorithms,66784742,8093334,https://github.com/cbreeden/fxhash
percent-encoding,49,,344062199,42503142,https://github.com/servo/rust-url/
colored,45,,81510559,13855821,https://github.com/mackwic/colored
image,56,Encoding,63958366,9867128,https://github.com/image-rs/image
signal-hook,15,,84408821,10605108,https://github.com/vorner/signal-hook
structopt,21,Command-line interface,62704571,5010971,https://github.com/TeXitoi/structopt
indexmap,80,Data structures,549620492,84172709,https://github.com/indexmap-rs/indexmap
rust-embed,16,Filesystem,14930664,2572933,https://git.sr.ht/~pyrossh/rust-embed
tracing-opentelemetry,13,Profiling,72401795,12043705,https://github.com/tokio-rs/tracing-opentelemetry
secp256k1,11,,28821637,3616418,https://github.com/rust-bitcoin/rust-secp256k1/
js-sys,14,WebAssembly,163926147,23011414,https://github.com/rustwasm/wasm-bindgen/tree/master/crates/js-sys
shlex,11,Command-line interface,211581345,44011999,https://github.com/comex/rust-shlex
ureq,17,HTTP client,55571593,9596278,https://github.com/algesten/ureq
rand_distr,22,Algorithms,49835737,9978862,https://github.com/rust-random/rand_distr
httparse,16,Network programming,269536957,37236860,https://github.com/seanmonstar/httparse
similar,11,,57708320,11013960,https://github.com/mitsuhiko/similar
tokio-rustls,39,Asynchronous,257926754,44605490,https://github.com/rustls/tokio-rustls
tokio-tungstenite,23,Asynchronous,86548151,13441654,https://github.com/snapview/tokio-tungstenite
urlencoding,20,Encoding,93843806,15551067,https://github.com/kornelski/rust_urlencoding
pulldown-cmark,11,Text processing,43154174,4880330,https://github.com/raphlinus/pulldown-cmark
async-channel,17,Asynchronous,132511123,23070835,https://github.com/smol-rs/async-channel
rustls-native-certs,13,Cryptography,160531026,31685851,https://github.com/rustls/rustls-native-certs
blake3,19,,59492916,10771350,https://github.com/BLAKE3-team/BLAKE3
dialoguer,21,Command-line interface,30306246,4362625,https://github.com/console-rs/dialoguer
lazy_static,118,Memory management,438522148,54053634,https://github.com/rust-lang-nursery/lazy-static.rs
fuzzy-matcher,13,,5968386,1288688,https://github.com/lotabout/fuzzy-matcher
hyper,66,Network programming,335730400,49869521,https://github.com/hyperium/hyper
bytemuck,26,Encoding,120063297,20295311,https://github.com/Lokathor/bytemuck
const_format,16,Text processing,45592782,10630447,https://github.com/rodrimati1992/const_format_crates/
hashbrown,44,Data structures,721127904,119547994,https://github.com/rust-lang/hashbrown
notify,35,Filesystem,49076722,7685557,https://github.com/notify-rs/notify.git
mimalloc,26,API bindings,13705866,2995236,https://github.com/purpleprotocol/mimalloc_rust
ron,19,Encoding,38077014,6186343,https://github.com/ron-rs/ron
tokio-util,77,Asynchronous,300737869,38424164,https://github.com/tokio-rs/tokio
insta,12,Testing,25406735,6759373,https://github.com/mitsuhiko/insta
async-trait,108,Asynchronous,256329352,34201435,https://github.com/dtolnay/async-trait
twox-hash,12,Algorithms,84436044,16058437,https://github.com/shepmaster/twox-hash
derive_more,41,Procedural macro helpers,149349043,27313505,https://github.com/JelteF/derive_more
axum,39,Asynchronous,139574242,26341288,https://github.com/tokio-rs/axum
nu-ansi-term,11,,158992055,28782902,https://github.com/nushell/nu-ansi-term
fnv,30,,314780654,43194130,https://github.com/servo/rust-fnv
termcolor,17,,260994034,29682137,https://github.com/BurntSushi/termcolor
tracing-appender,24,Debugging,31760438,5216038,https://github.com/tokio-rs/tracing
bitvec,16,Data structures,108316488,16100362,https://github.com/bitvecto-rs/bitvec
hdrhistogram,12,Data structures,44347190,7418264,https://github.com/HdrHistogram/HdrHistogram_rust.git
num-bigint,27,Algorithms,227443489,31012587,https://github.com/rust-num/num-bigint
console,23,,109080761,17725201,https://github.com/console-rs/console
trybuild,16,Testing,23688202,4192540,https://github.com/dtolnay/trybuild
rustls-pemfile,40,Cryptography,237798898,39711674,https://github.com/rustls/pemfile
bytesize,19,,35855797,6298472,https://github.com/bytesize-rs/bytesize/
axum-extra,11,Asynchronous,14581979,2918251,https://github.com/tokio-rs/axum
arbitrary,18,Testing,47078498,10002127,https://github.com/rust-fuzz/arbitrary/
base64,126,Encoding,632592547,86904190,https://github.com/marshallpierce/rust-base64
libc,139,External FFI bindings,637503372,82464133,https://github.com/rust-lang/libc
toml_edit,12,Encoding,264851398,50564520,https://github.com/toml-rs/toml
humantime,30,Date and time,223582437,26879296,https://github.com/chronotope/humantime
chrono,193,Date and time,316490120,41720574,https://github.com/chronotope/chrono
