repo,stars,new-stars-last-30d,new-stars-last-14d,new-stars-last-7d,new-stars-last-24H,stars-per-mille-30d,days-last-star,days-last-commit,days-since-creation,mentionable-users,language,archived,dependencies,main-category,sub-category,liveness,unique-contributors,new-commits-last-30d
mrhooray/crc-rs,191,3,1,0,0,15.707,10,216,3528,19,Rust,false,1,Libraries,Encoding,7.000,0,0
BurntSushi/rust-csv,1715,22,10,6,0,12.828,1,1,3886,50,Rust,false,4,Libraries,Encoding,67.000,2,2
naomijub/edn-rs,81,0,0,0,0,0.000,179,55,1810,6,Rust,false,2,Libraries,Encoding,6.000,0,0
frol/flatc-rust,106,0,0,0,0,0.000,30,274,2126,5,Rust,false,1,Libraries,Encoding,0.000,0,0
mandrean/har-rs,44,1,1,0,0,22.727,13,26,2186,7,Rust,false,5,Libraries,Encoding,17.000,2,4
servo/html5ever,2143,32,15,6,1,14.932,0,11,3896,123,Rust,false,0,Libraries,Encoding,57.000,2,3
cloudwego/sonic-rs,483,26,18,15,1,53.830,0,2,473,16,Rust,false,9,Libraries,Encoding,71.000,1,15
importcjj/rust-ajson,105,0,0,0,0,0.000,59,803,1936,4,Rust,false,2,Libraries,Encoding,0.000,0,0
serde-rs/json,4888,46,23,12,1,9.411,0,2,3463,118,Rust,false,5,Libraries,Encoding,90.000,1,35
simd-lite/simd-json,1154,19,16,11,10,16.464,0,13,2058,60,Rust,false,14,Libraries,Encoding,63.000,2,25
3Hren/msgpack-rust,1170,10,6,2,1,8.547,0,194,3523,46,Rust,false,0,Libraries,Encoding,27.000,0,0
georust/netcdf,82,1,1,0,0,12.195,11,38,3424,48,Rust,false,6,Libraries,Encoding,11.000,0,0
jcreekmore/pem-rs,56,2,2,2,0,35.714,1,216,3185,24,Rust,false,2,Libraries,Encoding,12.000,0,0
stepancheg/rust-protobuf,2806,27,11,7,0,9.622,2,26,4123,131,Rust,false,1,Libraries,Encoding,41.000,4,15
tokio-rs/prost,3925,57,24,9,2,14.522,0,9,2707,181,Rust,false,0,Libraries,Encoding,62.000,3,9
rkyv/rkyv,2944,69,21,10,1,23.438,0,4,1466,74,Rust,false,14,Libraries,Encoding,70.000,1,1
ron-rs/ron,3353,32,14,6,0,9.544,1,46,3492,62,Rust,false,6,Libraries,Encoding,31.000,0,0
tamasfe/taplo,1434,50,28,18,8,34.868,0,4,1632,62,Rust,false,30,Libraries,Encoding,74.000,2,4
toml-rs/toml,724,17,9,4,0,23.481,2,6,2690,135,Rust,false,0,Libraries,Encoding,53.000,2,9
Florob/RustyXML,103,0,0,0,0,0.000,142,1162,4123,3,Rust,false,1,Libraries,Encoding,0.000,0,0
media-io/yaserde,181,3,2,1,0,16.575,3,5,2407,30,Rust,false,0,Libraries,Encoding,48.000,3,15
netvl/xml-rs,461,1,0,0,0,2.169,21,224,3809,62,Rust,false,0,Libraries,Encoding,2.000,0,0
shepmaster/sxd-document,154,0,0,0,0,0.000,43,1670,3648,11,Rust,false,2,Libraries,Encoding,0.000,0,0
shepmaster/sxd-xpath,121,1,0,0,0,8.264,25,1147,3648,10,Rust,false,3,Libraries,Encoding,2.000,0,0
tafia/quick-xml,1209,20,7,3,0,16.543,2,1,3210,101,Rust,false,6,Libraries,Encoding,71.000,5,37
chyh1990/yaml-rust,609,4,3,0,0,6.568,10,1217,3457,31,Rust,false,1,Libraries,Encoding,7.000,0,0
dtolnay/serde-yaml,966,7,3,0,0,7.246,10,231,3182,37,Rust,true,5,Libraries,Encoding,0.000,0,0
vitiral/stfu8,26,0,0,0,0,0.000,93,306,2492,4,Rust,false,0,Libraries,Encoding,0.000,0,0
camino-rs/camino,437,5,2,1,0,11.442,2,85,1587,10,Rust,false,2,Libraries,Filesystem,12.000,0,0
apache/opendal,3423,137,97,84,3,40.023,0,2,1001,251,Rust,false,0,Libraries,Filesystem,100.000,21,58
ParthJadhav/Rust_Search,140,3,1,1,0,21.429,3,678,743,7,Rust,false,5,Libraries,Filesystem,12.000,0,0
pop-os/dbus-udisks2,18,0,0,0,0,0.000,189,1468,2237,10,Rust,false,3,Libraries,Filesystem,0.000,0,0
pop-os/sys-mount,41,0,0,0,0,0.000,95,279,2231,17,Rust,false,6,Libraries,Filesystem,0.000,0,0
vitiral/path_abs,51,1,1,0,0,19.608,8,909,2492,6,Rust,false,4,Libraries,Filesystem,5.000,0,0
webdesus/fs_extra,301,4,2,1,0,13.289,5,646,2833,12,Rust,false,0,Libraries,Filesystem,12.000,0,0
Stebalien/tempfile,1188,26,18,6,1,21.886,0,3,3500,67,Rust,false,3,Libraries,Filesystem,67.000,4,5
Stebalien/xattr,58,0,0,0,0,0.000,52,153,3411,15,Rust,false,1,Libraries,Filesystem,0.000,0,0
zboxfs/zbox,1539,5,4,2,0,3.249,3,1138,2540,11,Rust,true,14,Libraries,Filesystem,0.000,0,0
avhz/RustQuant,1133,48,25,9,0,42.365,1,0,802,32,Rust,false,36,Libraries,Finance,90.000,4,43
d-e-s-o/apca,146,3,2,1,0,20.548,1,114,1665,14,Rust,false,23,Libraries,Finance,12.000,0,0
dancixx/stochastic-rs,22,6,1,0,0,272.727,9,1,539,2,Rust,false,39,Libraries,Finance,57.000,1,48
JasonShin/fp-core.rs,1347,4,4,2,0,2.970,2,1780,1992,11,Rust,false,0,Libraries,Functional Programming,12.000,0,0
myrrlyn/tap,411,6,1,1,0,14.599,5,1367,1519,1,Rust,false,0,Libraries,Functional Programming,12.000,0,0
SiegeLord/RustAllegro,93,0,0,0,0,0.000,119,168,4231,6,Rust,false,0,Libraries,Game development,0.000,0,0
ozkriff/awesome-quads,191,7,2,1,1,36.649,0,12,1382,15,,false,0,Libraries,Game development,44.000,2,2
rofrol/awesome-wgpu,421,7,4,2,0,16.627,1,1544,1763,3,,false,0,Libraries,Game development,12.000,0,0
amethyst/bracket-lib,1530,14,4,2,0,9.150,4,670,1958,77,Rust,false,7,Libraries,Game development,16.000,0,0
iddm/challonge-rs,2,0,0,0,0,0.000,272,341,3054,3,Rust,false,5,Libraries,Game development,0.000,0,0
amethyst/specs,2510,13,8,3,1,5.179,0,156,3141,111,Rust,false,12,Libraries,Game development,31.000,0,0
amethyst/legion,1630,13,4,1,0,7.975,5,1134,2074,71,Rust,false,15,Libraries,Game development,16.000,0,0
bevyengine/bevy,36162,577,262,123,15,15.956,0,0,1758,1108,Rust,false,1,Libraries,Game development,100.000,74,195
ggez/ggez,4258,25,11,4,3,5.871,0,489,3207,190,Rust,false,23,Libraries,Game development,35.000,0,0
Ruddle/oxidator,298,3,2,2,2,10.067,0,1714,1863,1,Rust,false,26,Libraries,Game development,22.000,0,0
unrust/unrust,375,0,0,0,0,0.000,66,2282,2477,4,Rust,false,17,Libraries,Game development,0.000,0,0
gamedig/rust-gamedig,38,0,0,0,0,0.000,47,3,758,5,Rust,false,0,Libraries,Game development,32.000,4,9
godot-rust/gdnative,3617,13,6,3,0,3.594,1,62,2771,79,Rust,false,0,Libraries,Game development,21.000,0,0
deltaphc/raylib-rs,775,17,3,1,0,21.935,1,170,2294,48,C,false,0,Libraries,Game development,16.000,0,0
brson/rust-sdl,179,0,0,0,0,0.000,74,3456,4656,40,Rust,false,3,Libraries,Game development,0.000,0,0
Rust-SDL2/rust-sdl2,2769,25,13,6,1,9.029,0,90,4103,302,Rust,false,6,Libraries,Game development,35.000,0,0
jeremyletang/rust-sfml,637,7,4,3,0,10.989,1,15,4183,43,Rust,false,6,Libraries,Game development,32.000,1,145
atomflunder/skillratings,43,1,0,0,0,23.256,19,31,824,4,Rust,false,1,Libraries,Game development,8.000,0,0
tomassedovic/tcod-rs,229,0,0,0,0,0.000,37,1380,3799,30,C,false,0,Libraries,Game development,0.000,0,0
iddm/toornament-rs,4,0,0,0,0,0.000,283,341,2719,2,Rust,false,5,Libraries,Game development,0.000,0,0
VictoremWinbringer/Victorem,32,0,0,0,0,0.000,57,2127,2167,1,Rust,false,4,Libraries,Game development,0.000,0,0
DaveKram/coord_transforms,33,1,1,1,0,30.303,4,871,2598,3,Rust,false,2,Libraries,Geospatial,10.000,0,0
maplibre/martin,2295,68,28,15,0,29.630,1,0,2598,50,Rust,false,64,Libraries,Geospatial,90.000,5,30
gx0r/rrgeo,124,2,1,0,0,16.129,10,144,3237,4,Rust,false,0,Libraries,Geospatial,7.000,0,0
vlopes11/geomorph,14,0,0,0,0,0.000,283,58,2351,1,Rust,false,1,Libraries,Geospatial,6.000,0,0
neo4j-labs/graph,384,2,0,0,0,5.208,18,356,1248,8,Rust,false,47,Libraries,Graph algorithms,4.000,0,0
petgraph/petgraph,2927,43,26,11,4,14.691,0,186,3611,104,Rust,false,6,Libraries,Graph algorithms,40.000,0,0
redox-os/rusttype,618,6,2,1,0,9.709,2,613,3201,31,Rust,false,5,Libraries,Graphics,12.000,0,0
harfbuzz/rustybuzz,559,14,6,4,0,25.045,1,1,1764,25,Rust,false,11,Libraries,Graphics,67.000,4,12
gfx-rs/gfx,5361,11,8,4,1,2.052,0,1195,4035,255,Rust,false,0,Libraries,Graphics,31.000,0,0
gfx-rs/wgpu,12610,265,127,51,5,21.015,0,1,2250,442,Rust,false,96,Libraries,Graphics,100.000,19,94
brendanzab/gl-rs,681,3,2,2,0,4.405,1,1647,4316,72,Rust,false,0,Libraries,Graphics,12.000,0,0
glium/glium,3503,26,11,5,1,7.422,0,8,3691,177,Rust,false,8,Libraries,Graphics,57.000,2,3
PistonDevelopers/glfw-rs,646,3,1,1,0,4.644,4,108,4440,207,Rust,false,7,Libraries,Graphics,12.000,0,0
bastibense/libharu_ng,15,1,0,0,0,66.667,19,144,295,2,C,false,0,Libraries,Graphics,2.000,0,0
fschutt/printpdf,820,13,7,6,1,15.854,0,1,2742,44,Rust,false,20,Libraries,Graphics,81.000,1,39
J-F-Liu/lopdf,1647,30,16,11,3,18.215,0,0,2890,67,Rust,false,19,Libraries,Graphics,87.000,3,3
kaj/rust-pdf,144,0,0,0,0,0.000,129,1007,3335,1,Rust,false,2,Libraries,Graphics,0.000,0,0
vulkano-rs/vulkano,4532,36,18,10,1,7.944,0,6,3415,223,Rust,false,38,Libraries,Graphics,75.000,5,43
autopilot-rs/autopilot-rs,382,6,3,2,0,15.707,1,473,2406,17,Rust,false,4,Libraries,GUI,12.000,0,0
servo/core-foundation-rs,1015,17,8,4,2,16.749,0,26,4455,180,Rust,false,5,Libraries,GUI,41.000,1,1
dioxuslabs/dioxus,21448,910,511,92,8,42.428,0,0,1396,251,Rust,false,122,Libraries,GUI,100.000,12,59
emilk/egui,22377,390,199,104,11,17.429,0,4,2128,451,Rust,false,42,Libraries,GUI,100.000,18,43
emoon/rust_minifb,1036,15,3,2,0,14.479,2,36,3276,72,Rust,false,1,Libraries,GUI,22.000,0,0
fltk-rs/fltk-rs,1610,10,5,3,0,6.211,1,20,1844,41,Rust,false,0,Libraries,GUI,24.000,1,3
cunarist/rinf,1999,55,19,9,2,27.514,0,9,634,30,Dart,false,0,Libraries,GUI,65.000,5,56
flutter-rs/flutter-rs,2105,3,2,1,0,1.425,1,1550,2161,11,Rust,false,0,Libraries,GUI,12.000,0,0
fzyzcjy/flutter_rust_bridge,4263,75,29,13,2,17.593,0,3,1134,108,Dart,false,0,Libraries,GUI,80.000,6,136
fschutt/azul,5896,23,16,11,1,3.901,0,4,2490,37,Rust,false,0,Libraries,GUI,67.000,1,7
gtk-rs/gtk4-rs,1879,36,17,9,3,19.159,0,3,2008,100,Rust,false,25,Libraries,GUI,75.000,7,55
antoyo/relm,2436,5,3,2,0,2.053,3,205,2831,39,Rust,false,8,Libraries,GUI,12.000,0,0
iced-rs/iced,24724,310,121,55,7,12.538,0,5,1945,248,Rust,false,56,Libraries,GUI,100.000,7,23
ocornut/imgui,61043,742,296,152,20,12.155,0,3,3765,407,C++,false,0,Libraries,GUI,100.000,8,71
imgui-rs/imgui-rs,2685,28,9,3,1,10.428,0,11,3374,114,Rust,false,0,Libraries,GUI,57.000,3,4
KISS-UI/kiss-ui,341,0,0,0,0,0.000,245,2456,3486,10,Rust,false,2,Libraries,GUI,0.000,0,0
ivanceras/sauron-native,631,0,0,0,0,0.000,114,1312,1935,2,Rust,false,20,Libraries,GUI,0.000,0,0
andlabs/libui,10730,16,9,5,1,1.491,0,1409,3496,35,C,false,0,Libraries,GUI,31.000,0,0
rust-native-ui/libui-rs,932,1,1,0,0,1.073,12,668,2497,21,Rust,false,0,Libraries,GUI,5.000,0,0
makepad/makepad,5154,59,25,14,4,11.447,0,0,2090,43,Rust,false,0,Libraries,GUI,100.000,7,98
Immediate-Mode-UI/Nuklear,9281,116,52,30,1,12.499,0,3,1811,172,C,false,0,Libraries,GUI,96.000,4,19
snuk182/nuklear-rust,360,2,1,1,0,5.556,1,1483,2981,3,Rust,false,2,Libraries,GUI,12.000,0,0
redox-os/orbtk,3781,5,4,0,0,1.322,7,759,3254,50,Rust,false,0,Libraries,GUI,7.000,0,0
cyndis/qmlrs,437,0,0,0,0,0.000,46,3142,3620,8,Rust,false,1,Libraries,GUI,0.000,0,0
woboq/qmetaobject-rs,644,5,3,0,0,7.764,9,19,2349,41,Rust,false,0,Libraries,GUI,19.000,2,6
rise-ui/rise,71,0,0,0,0,0.000,281,2102,2426,4,Rust,false,24,Libraries,GUI,0.000,0,0
saurvs/nfd-rs,158,1,0,0,0,6.329,14,2060,3174,5,Rust,false,0,Libraries,GUI,2.000,0,0
sciter-sdk/rust-sciter,810,3,3,0,0,3.704,10,993,3170,20,Rust,false,2,Libraries,GUI,7.000,0,0
slint-ui/slint,17540,404,125,56,8,23.033,0,2,1651,156,Rust,false,48,Libraries,GUI,100.000,15,168
tauri-apps/tauri,84718,1692,730,397,49,19.972,0,1,1947,408,Rust,false,0,Libraries,GUI,100.000,19,93
tauri-apps/wry,3710,104,41,18,6,28.032,0,2,1582,109,Rust,false,0,Libraries,GUI,100.000,10,22
linebender/xilem,3675,105,54,26,5,28.571,0,0,725,174,Rust,false,18,Libraries,GUI,100.000,9,60
abonander/img_hash,314,2,2,0,0,6.369,8,1286,3645,10,Rust,false,5,Libraries,Image processing,7.000,0,0
Enet4/dicom-rs,423,8,4,2,0,18.913,4,4,2940,31,Rust,false,0,Libraries,Image processing,52.000,5,113
image-rs/image,4972,71,32,20,1,14.280,0,5,3822,312,Rust,false,18,Libraries,Image processing,90.000,8,64
image-rs/imageproc,757,13,4,2,0,17.173,1,22,3332,93,Rust,false,11,Libraries,Image processing,28.000,2,3
marekm4/dominant_color,34,0,0,0,0,0.000,43,615,1962,1,Rust,false,0,Libraries,Image processing,0.000,0,0
rust-cv/cv,848,13,5,3,1,15.330,0,479,1681,11,Rust,false,0,Libraries,Image processing,26.000,0,0
teovoinea/steganography,94,1,1,1,0,10.638,2,1735,2764,2,Rust,false,1,Libraries,Image processing,10.000,0,0
twistedfall/opencv-rust,1996,32,12,8,2,16.032,0,0,3498,44,Rust,false,4,Libraries,Image processing,91.000,1,16
shnewto/bnf,259,3,2,1,1,11.583,0,35,2576,13,Rust,false,8,Libraries,Language specification,28.000,0,0
estk/log4rs,1007,10,3,2,0,9.930,2,125,3575,47,Rust,false,20,Libraries,Logging,12.000,0,0
rbatis/fast_log,245,5,3,2,1,20.408,0,58,1716,1,Rust,false,10,Libraries,Logging,28.000,0,0
rust-lang/log,2207,25,13,9,1,11.328,0,5,3620,126,Rust,false,4,Libraries,Logging,65.000,1,1
seanmonstar/pretty-env-logger,488,8,6,1,0,16.393,1,542,2944,18,Rust,false,2,Libraries,Logging,17.000,0,0
slog-rs/slog,1578,7,3,1,0,4.436,5,48,3073,55,Rust,false,3,Libraries,Logging,18.000,0,0
tokio-rs/tracing,5489,89,38,21,2,16.214,0,8,2130,305,Rust,false,0,Libraries,Logging,72.000,2,5
mattgathu/cute,336,0,0,0,0,0.000,65,2052,2675,2,Rust,false,0,Libraries,Macro,0.000,0,0
StardustDL/Linq-in-Rust,128,1,0,0,0,7.812,16,502,2099,3,Rust,false,0,Libraries,Macro,2.000,0,0
pulldown-cmark/pulldown-cmark,2069,30,12,7,2,14.500,0,4,3448,85,Rust,false,0,Libraries,Markup language,71.000,5,16
insomnimus/tidier,4,0,0,0,0,0.000,49,75,328,1,Rust,false,2,Libraries,Markup language,0.000,0,0
ivnsch/rust_android_ios,241,0,0,0,0,0.000,30,1048,1923,2,Rust,false,2,Libraries,Mobile,0.000,0,0
Geal/rust_on_mobile,172,0,0,0,0,0.000,94,3024,3065,1,Objective-C,false,0,Libraries,Mobile,0.000,0,0
redbadger/crux,1760,41,18,8,1,23.295,0,18,764,59,Rust,false,2,Libraries,Mobile,55.000,3,31
TimNN/cargo-lipo,538,4,2,0,0,7.435,7,167,3338,18,Rust,false,6,Libraries,Mobile,7.000,0,0
bluez/bluer,316,5,2,0,0,15.823,6,82,1224,44,Rust,false,0,Libraries,Network programming,7.000,0,0
Covertness/coap-rs,211,3,0,0,0,14.218,14,2,3409,24,Rust,false,17,Libraries,Network programming,46.000,2,7
fussybeaver/bollard,902,13,8,2,1,14.412,0,0,2336,86,Rust,false,38,Libraries,Network programming,87.000,3,12
mattnenterprise/rust-ftp,182,0,0,0,0,0.000,37,1132,3642,16,Rust,false,5,Libraries,Network programming,0.000,0,0
hyperium/tonic,10003,172,75,41,4,17.195,0,3,1920,264,Rust,false,0,Libraries,Network programming,100.000,6,35
tikv/grpc-rs,1807,6,4,3,0,3.320,1,90,2760,125,Rust,false,10,Libraries,Network programming,12.000,0,0
Orange-OpenSource/hurl,13072,174,84,44,7,13.311,0,1,1538,205,Rust,false,0,Libraries,Network programming,100.000,6,72
achanda/ipnetwork,121,0,0,0,0,0.000,65,47,3495,28,Rust,false,2,Libraries,Network programming,6.000,0,0
canndrew/netsim,142,1,0,0,0,7.042,26,2014,2508,3,Rust,false,19,Libraries,Network programming,2.000,0,0
actix/actix,8652,56,30,7,1,6.472,0,35,2611,144,Rust,false,0,Libraries,Network programming,46.000,0,0
dylanmckay/protocol,187,1,1,1,0,5.348,4,792,2983,5,Rust,false,0,Libraries,Network programming,10.000,0,0
libpnet/libpnet,2296,19,9,4,1,8.275,0,109,3724,131,Rust,false,6,Libraries,Network programming,31.000,0,0
smoltcp-rs/smoltcp,3790,33,13,9,1,8.707,0,0,2900,131,Rust,false,8,Libraries,Network programming,91.000,9,14
lemunozm/message-io,1119,8,5,4,0,7.149,1,122,1591,14,Rust,false,11,Libraries,Network programming,12.000,0,0
bytebeamio/rumqtt,1636,35,9,4,2,21.394,0,80,1853,91,Rust,false,0,Libraries,Network programming,35.000,0,0
rmqtt/rmqtt,567,23,16,8,1,40.564,0,0,1342,7,Rust,false,3,Libraries,Network programming,95.000,1,44
thehydroimpulse/nanomsg.rs,391,0,0,0,0,0.000,47,374,4082,26,Rust,false,2,Libraries,Network programming,0.000,0,0
nats-io/nats.rs,1062,19,10,6,1,17.891,0,6,1721,90,Rust,false,0,Libraries,Network programming,63.000,2,5
mattnenterprise/rust-nntp,17,0,0,0,0,0.000,276,2693,3640,3,Rust,false,0,Libraries,Network programming,0.000,0,0
libp2p/rust-libp2p,4589,65,40,32,6,14.164,0,2,2788,313,Rust,false,59,Libraries,Network programming,98.000,9,15
n0-computer/iroh,2567,110,45,18,2,42.852,0,3,972,38,Rust,false,0,Libraries,Network programming,90.000,8,81
mattnenterprise/rust-pop3,31,0,0,0,0,0.000,196,1422,3647,4,Rust,false,3,Libraries,Network programming,0.000,0,0
aws/s2n-quic,1162,16,9,6,0,13.769,1,2,1599,60,Rust,false,0,Libraries,Network programming,71.000,7,26
cloudflare/quiche,9471,103,45,22,9,10.875,0,11,2234,147,Rust,false,0,Libraries,Network programming,74.000,4,4
mozilla/neqo,1842,13,7,3,0,7.058,2,4,2092,44,Rust,false,4,Libraries,Network programming,61.000,4,32
quinn-rs/quinn,3838,66,36,23,0,17.196,1,0,2413,133,Rust,false,42,Libraries,Network programming,100.000,14,37
Tencent/tquic,1108,33,16,9,0,29.783,2,2,382,20,Rust,false,20,Libraries,Network programming,71.000,2,17
b23r0/rust-raknet,224,2,1,1,0,8.929,5,713,975,3,Rust,false,3,Libraries,Network programming,12.000,0,0
ENQT-GmbH/remoc,173,0,0,0,0,0.000,32,44,1228,3,Rust,false,0,Libraries,Network programming,6.000,0,0
smallnest/rpcx-rs,129,3,3,2,0,23.256,5,242,1932,3,Rust,false,0,Libraries,Network programming,12.000,0,0
1c3t3a/rust-socketio,419,8,4,2,0,19.093,3,52,1413,18,Rust,false,0,Libraries,Network programming,18.000,0,0
alexcrichton/ssh2-rs,490,6,3,3,1,12.245,0,4,3707,72,Rust,false,4,Libraries,Network programming,58.000,4,15
zslayton/stomp-rs,90,0,0,0,0,0.000,119,2319,3851,5,Rust,false,7,Libraries,Network programming,0.000,0,0
DefGuard/wireguard-rs,158,12,6,3,0,75.949,2,24,444,8,Rust,false,4,Libraries,Network programming,33.000,1,7
eclipse-zenoh-flow/zenoh-flow,90,1,0,0,0,11.111,25,86,1273,15,Rust,false,36,Libraries,Network programming,2.000,0,0
eclipse-zenoh/zenoh,1492,51,31,12,3,34.182,0,2,1755,60,Rust,false,138,Libraries,Network programming,100.000,10,86
erickt/rust-zmq,905,4,3,2,0,4.420,0,659,4715,54,Rust,false,3,Libraries,Network programming,12.000,0,0
comex/rust-shlex,103,1,1,1,0,9.709,2,293,3429,7,Rust,false,0,Libraries,Parsing,10.000,0,0
Eliah-Lakhin/lady-deirdre,444,0,0,0,0,0.000,29,6,733,2,Rust,false,0,Libraries,Parsing,30.000,1,1
Folyd/robotstxt,88,2,0,0,0,22.727,25,1366,1684,1,Rust,false,0,Libraries,Parsing,4.000,0,0
freestrings/jsonpath,122,0,0,0,0,0.000,133,1160,2147,5,Rust,false,3,Libraries,Parsing,0.000,0,0
igumnoff/shiva,295,125,26,9,2,423.729,0,4,237,30,Rust,false,0,Libraries,Parsing,72.000,3,6
kevinmehall/rust-peg,1464,15,4,3,0,10.246,2,112,4102,50,Rust,false,2,Libraries,Parsing,16.000,0,0
lalrpop/lalrpop,3061,29,14,6,2,9.474,0,2,3439,150,Rust,false,5,Libraries,Parsing,77.000,2,8
m4rw3r/chomp,244,1,1,0,0,4.098,12,914,3283,8,Rust,false,7,Libraries,Parsing,5.000,0,0
Marwes/combine,1302,5,3,3,0,3.840,1,214,3590,54,Rust,false,11,Libraries,Parsing,12.000,0,0
nrc/zero,47,0,0,0,0,0.000,233,643,3221,8,Rust,false,0,Libraries,Parsing,0.000,0,0
pest-parser/pest,4646,32,19,12,1,6.888,0,23,3122,125,Rust,false,0,Libraries,Parsing,47.000,2,3
ptal/oak,142,0,0,0,0,0.000,99,1398,3780,6,Rust,false,4,Libraries,Parsing,0.000,0,0
replicadse/wavefront_rs,4,0,0,0,0,0.000,656,585,1659,2,Rust,false,0,Libraries,Parsing,0.000,0,0
rust-bakery/nom,9464,74,37,11,2,7.819,0,35,3640,346,Rust,false,1,Libraries,Parsing,56.000,0,0
s-panferov/queryst,71,0,0,0,0,0.000,236,547,3700,11,Rust,false,5,Libraries,Parsing,0.000,0,0
tree-sitter/tree-sitter,18648,348,192,103,23,18.662,0,0,4023,306,Rust,false,51,Libraries,Parsing,100.000,15,81
alvaroparker/libfprint-rs,11,0,0,0,0,0.000,150,39,509,1,Rust,false,3,Libraries,Peripherals,6.000,0,0
serialport/serialport-rs,506,27,10,8,0,53.360,1,19,1007,37,Rust,false,3,Libraries,Peripherals,41.000,2,17
hannobraun/inotify-rs,260,3,0,0,0,11.538,21,53,3867,49,Rust,false,5,Libraries,Platform specific,10.000,0,0
yaa110/rust-iptables,86,2,1,1,0,23.256,3,419,2829,3,Rust,false,3,Libraries,Platform specific,12.000,0,0
nix-rust/nix,2654,22,11,5,0,8.289,2,7,3748,401,Rust,false,5,Libraries,Platform specific,47.000,7,7
bytecodealliance/rustix,1485,23,12,7,0,15.488,1,0,1518,99,Rust,false,5,Libraries,Platform specific,81.000,7,15
zargony/fuse-rs,1073,7,4,1,0,6.524,5,1565,4051,23,Rust,false,5,Libraries,Platform specific,12.000,0,0
microsoft/windows-rs,10449,90,36,19,3,8.613,0,11,1886,75,Rust,false,12,Libraries,Platform specific,72.000,2,4
retep998/winapi-rs,1848,9,5,1,0,4.870,1,1100,3715,150,Rust,false,0,Libraries,Platform specific,12.000,0,0
rustq/3body-lang,181,1,0,0,0,5.525,19,3,641,9,Rust,false,3,Libraries,Scripting,34.000,1,2
clarkmcc/cel-rust,378,7,3,2,1,18.519,0,4,564,15,Rust,false,0,Libraries,Scripting,58.000,6,12
fleabitdev/glsp,394,2,1,0,0,5.076,9,978,1613,3,Rust,false,0,Libraries,Scripting,7.000,0,0
gluon-lang/gluon,3219,16,11,5,1,4.970,0,330,3388,55,Rust,false,29,Libraries,Scripting,31.000,0,0
kcl-lang/kcl,1679,55,31,12,3,32.758,0,3,920,36,Rust,false,0,Libraries,Scripting,90.000,4,33
metacall/core,1571,8,5,2,0,5.092,0,2,2146,49,C,false,0,Libraries,Scripting,58.000,2,16
mun-lang/mun,1871,18,7,2,0,9.621,2,103,1940,21,Rust,false,66,Libraries,Scripting,21.000,0,0
murarth/ketos,750,0,0,0,0,0.000,79,1759,3198,8,Rust,false,9,Libraries,Scripting,0.000,0,0
PistonDevelopers/dyon,1774,10,5,1,0,5.637,4,256,3215,143,Rust,false,8,Libraries,Scripting,12.000,0,0
rhaiscript/rhai,3828,60,31,10,2,15.674,0,33,3177,53,Rust,false,20,Libraries,Scripting,56.000,0,0
rune-rs/rune,1756,23,10,3,1,13.098,0,5,1569,40,Rust,false,0,Libraries,Scripting,75.000,3,72
FedericoBruzzone/tdlib-rs,40,2,1,1,0,50.000,4,90,175,5,Rust,false,0,Libraries,Social networks,12.000,0,0
ardaku/whoami,195,9,6,4,2,46.154,0,17,2661,14,Rust,false,0,Libraries,System,39.000,2,2
GuillaumeGomez/sysinfo,2095,48,29,12,1,22.912,0,0,3533,149,Rust,false,3,Libraries,System,100.000,5,30
navidys/procsys,1,0,0,0,0,0.000,98,51,141,1,Rust,false,6,Libraries,System,6.000,0,0
Phate6660/nixinfo,47,1,1,1,0,21.277,2,423,1553,5,Rust,false,2,Libraries,System,10.000,0,0
sorairolake/sysexits-rs,22,0,0,0,0,0.000,120,0,897,3,Rust,false,0,Libraries,System,60.000,1,25
BinChengZhao/delay-timer,315,4,1,0,0,12.698,11,175,1623,5,Rust,false,15,Libraries,Task scheduling,7.000,0,0
sunng87/handlebars-rust,1289,16,7,2,0,12.413,4,2,3612,77,Rust,false,11,Libraries,Template engine,67.000,2,11
zzau13/yarte,280,0,0,0,0,0.000,48,98,1954,2,Rust,false,9,Libraries,Template engine,0.000,0,0
djc/askama,3477,40,20,8,0,11.504,1,32,2880,123,Rust,false,0,Libraries,Template engine,31.000,0,0
kaj/ructe,454,1,1,1,0,2.203,2,133,2978,14,Rust,false,7,Libraries,Template engine,10.000,0,0
Keats/tera,3547,61,35,16,2,17.198,0,165,3404,139,Rust,false,14,Libraries,Template engine,50.000,0,0
lambda-fairy/maud,2123,22,8,3,0,10.363,1,37,3616,53,Rust,false,0,Libraries,Template engine,31.000,0,0
Stebalien/horrorshow-rs,323,4,2,1,0,12.384,2,426,3480,10,Rust,false,0,Libraries,Template engine,12.000,0,0
rustache/rustache,210,0,0,0,0,0.000,330,2549,3705,12,Rust,false,3,Libraries,Template engine,0.000,0,0
becheran/wildmatch,78,3,0,0,0,38.462,14,41,1775,9,Rust,false,1,Libraries,Text processing,10.000,0,0
BurntSushi/suffix,262,1,1,0,0,3.817,8,397,3606,6,Rust,false,0,Libraries,Text processing,5.000,0,0
BurntSushi/tabwriter,248,2,2,1,1,8.065,0,46,3717,11,Rust,false,1,Libraries,Text processing,28.000,0,0
